Bin,Flow,GC_bin,Contig
P1,30.86,0.5-0.55,"32:1.0"
P2,23.07,0.45-0.5,"34:1.0"
P3,0.50,0.45-0.5,"38:1.0,113:2.0,125:2.0,173:1.0,155:1.0,31:1.0,174:1.0,248:2.0,201:1.0,223:1.0,44:2.0,13:1.0,115:1.0,68:2.0,268:2.0,168:1.0,242:2.0,89:1.0,90:1.0,118:2.0,126:2.0,30:1.0,139:1.0,112:2.0,25:1.0,117:2.0,228:1.0,47:1.0,257:2.0,189:1.0,145:1.0,66:2.0,136:2.0,71:2.0,24:1.0,29:1.0,63:2.0,64:1.0,220:1.0,54:2.0,22:1.0"
P4,0.05,0.5-0.55,"38:7.13,125:6.13,78:3.0,173:2.0,113:3.0,155:5.13,16:7.13,201:5.13,44:4.0,115:8.129999999999999,68:7.13,268:7.13,168:6.13,143:4.0,242:3.0,28:1.0,89:1.0,90:6.13,255:2.0,118:2.0,126:11.129999999999999,61:3.0,139:3.0,30:1.0,67:9.129999999999999,25:1.0,112:7.13,228:1.0,117:2.0,47:3.0,257:3.0,189:2.0,241:9.129999999999999,66:1.0,33:1.0,71:3.0,136:3.0,24:1.0,29:2.0,81:1.0,64:9.129999999999999,220:1.0,63:6.13,54:1.0,23:1.0,175:8.129999999999999,22:2.0"
P5,0.10,0.5-0.55,"38:3.0,125:2.0,263:2.0,78:3.27,173:1.0,113:1.0,155:1.0,16:2.0,201:1.0,44:1.0,115:3.0,68:1.0,168:2.0,143:4.27,242:1.0,28:1.0,89:1.0,90:1.0,255:3.27,118:3.27,126:5.27,61:3.27,139:1.0,67:2.0,112:2.0,117:3.27,228:1.0,47:1.0,257:1.0,189:1.0,241:2.0,63:2.0,33:1.0,71:1.0,136:1.0,81:1.0,64:3.0,175:3.0,22:3.27"
P6,8.93,0.4-0.45,"21:1.0"
P7,0.10,0.5-0.55,"38:4.99,113:2.99,263:2.0,125:2.0,155:1.0,174:1.0,16:1.0,201:2.0,13:1.0,115:1.0,68:1.0,168:2.0,242:2.99,28:2.99,89:1.0,269:2.99,90:1.0,255:1.0,118:1.0,126:1.0,112:2.0,117:1.0,189:1.0,145:1.0,63:2.0,136:2.99,71:2.99,64:1.0,54:1.0,193:1.0"
P8,3.00,0.5-0.55,"38:1.0"
P9,0.39,0.5-0.55,"125:1.0,78:1.0,263:1.0,155:1.0,16:1.0,201:1.0,115:2.0,68:1.0,143:2.0,90:1.0,255:1.0,118:1.0,17:1.0,126:3.0,61:1.0,67:2.0,112:1.0,117:1.0,228:1.0,241:1.0,145:1.0,63:1.0,33:1.0,81:1.0,64:2.0,175:2.0"
P10,0.91,0.45-0.5,"125:1.0,263:1.0,155:1.0,63:1.0,16:1.0,64:1.0,112:1.0,201:1.0,90:1.0,175:1.0,115:1.0"
P11,2.26,0.5-0.55,"113:1.0,244:1.0,136:1.0,71:1.0,28:1.0,269:1.0"
P12,0.22,0.45-0.5,"139:1.0,44:1.0,27:1.0"
P13,0.54,0.5-0.55,"16:1.0"
P14,0.53,0.4-0.45,"23:1.0"
